#{"t_start": 1753780783.2422848, "env_id": "None"}
r,l,t
-100.518663,55,154.646333
-36.475631,82,154.679676
1349.211075,224,155.713789
1408.023283,199,155.801461
1422.153713,232,155.960161
-100.738576,50,155.996532
43.52026,82,156.030071
1700.643203,750,157.770667
202.925133,180,157.859649
197.964778,160,157.944562
374.959286,200,158.026415
239.019262,174,158.097509
221.96683,125,159.183643
-80.177795,54,159.205669
1414.62253,248,159.308367
1332.809105,247,159.412571
1399.50454,214,159.540055
1444.446761,226,160.554448
1658.430047,322,160.686233
1604.78143,331,160.821383
1578.304027,256,160.924414
-1.359467,112,160.984046
-89.239532,46,161.948142
1499.65793,231,162.055793
167.980116,150,162.116413
167.810098,164,162.184467
300.076469,266,162.294458
1595.85698,214,163.392583
98.143615,111,163.437926
-5.269125,98,163.497075
1424.858841,216,163.586309
81.853963,140,163.650056
1399.484882,236,164.794056
63.346666,85,164.829525
195.409321,163,164.897506
96.716141,130,164.957824
-62.712468,81,165.005522
115.478353,174,166.021899
-45.131856,184,166.108779
111.710873,118,166.156779
1365.127201,231,166.250707
261.23254,207,166.336842
1427.190317,197,167.356069
-69.83993,103,167.410536
1418.167381,219,167.530693
-64.729585,55,167.554647
313.463729,184,167.630945
441.612937,176,168.695105
1424.115181,224,168.786274
-48.855974,78,168.818019
1438.154771,200,168.920261
1334.794304,208,169.006588
1603.890912,276,170.117729
1737.638284,253,170.22353
81.006177,123,170.274238
1767.637137,297,170.396128
1672.994682,282,170.510669
366.421517,172,171.616103
8.483736,109,171.682076
338.255286,145,171.751505
97.392707,197,171.831766
1502.843635,202,171.913837
1405.282727,220,172.934892
41.567388,120,172.982991
95.1202,166,173.051118
1411.010271,215,173.143823
70.521362,130,173.196859
-85.988998,52,174.352556
1413.858686,232,174.447971
-61.724999,81,174.480816
1361.593521,208,174.565271
1468.049271,217,174.655181
299.329138,200,175.70878
14.921665,167,175.776425
245.278968,155,175.875818
1532.941372,235,175.980789
1546.446241,200,176.068972
-78.543492,71,177.008823
-132.807766,83,177.042326
1476.525434,198,177.123486
1387.529565,236,177.225135
17.647419,91,177.264185
196.736173,126,178.286752
92.17137,122,178.336597
-93.952174,56,178.359179
-73.258318,97,178.398253
199.259642,155,178.460786
319.807712,225,179.509761
1277.052532,267,179.618915
1379.961873,246,179.745531
1400.555336,224,179.859759
-114.867197,54,179.897238
1612.771299,184,180.937303
1477.208379,202,181.031567
38.620309,67,181.058624
1443.751963,207,181.145821
404.662761,185,181.222535
44.579665,113,182.212787
-39.846657,91,182.249747
1483.550029,238,182.353411
-7.150872,87,182.389371
1452.108479,222,182.478868
984.697104,750,183.696168
1405.757321,750,183.99797
1422.658242,750,184.480378
1498.708766,750,184.815354
1721.267493,234,184.920264
62.313459,130,185.959823
-120.99508,56,185.994601
1468.882289,205,186.079149
520.382787,219,186.169333
1461.383667,233,186.265513
1450.311195,168,187.297651
1433.277748,189,187.379983
330.697469,158,187.458117
1462.528827,196,187.540515
1474.486197,212,187.627096
406.3787,187,188.654862
1315.216917,214,188.742986
7.020721,79,188.775291
1454.437505,226,188.867182
1358.14687,241,188.966396
1459.727766,189,189.952137
1408.651967,207,190.050617
-102.27231,101,190.122748
-90.122489,104,190.168157
1499.104755,243,190.317713
1365.147876,219,191.413587
-53.663168,68,191.44168
1274.811892,243,191.546381
1267.376031,218,191.636731
1380.866953,226,191.731296
1547.654211,174,192.749932
1394.474508,235,192.844424
-26.761722,99,192.885551
1448.157516,198,192.968695
1464.754333,217,193.060477
1528.443037,235,194.058997
1318.970286,222,194.150555
1544.153374,222,194.241391
-74.098535,76,194.274171
1330.492744,198,194.356887
-27.896413,50,195.487551
1482.92994,224,195.579588
1447.058321,200,195.662468
-66.629581,54,195.684588
1459.047537,228,195.787278
-128.908547,56,196.805433
1445.107454,183,196.916752
1389.363836,259,197.026295
-26.406395,65,197.054002
94.143602,117,197.102009
-52.152548,117,198.080552
-24.192386,89,198.116628
72.559739,86,198.151217
1379.980007,215,198.240083
1435.426979,197,198.322542
1393.263412,229,199.360118
-20.909448,129,199.414971
114.779011,138,199.472151
-17.47914,83,199.506176
-4.126365,103,199.554294
115.143413,157,200.574384
1452.471358,236,200.671582
1409.253416,226,200.763339
1406.432833,189,200.842136
82.361629,129,200.895704
54.717067,137,201.980035
-44.010375,49,202.00367
1453.815929,192,202.082732
276.41658,167,202.152637
1441.846936,187,202.22923
1402.717923,201,203.246412
1451.083107,202,203.33041
1556.903356,178,203.40237
-92.181018,95,203.440614
1387.196312,193,203.52037
1299.046333,750,204.782626
937.835805,750,205.150167
1278.922435,750,205.558574
960.766934,750,205.868529
1295.480868,750,206.184067
1517.47504,203,207.232058
1329.693093,259,207.391962
1442.327237,197,207.493467
1430.879017,229,207.596059
1464.417544,200,207.68692
634.350206,241,208.714331
1003.358999,750,209.018462
1694.516212,275,209.132434
1719.380888,257,209.238619
1663.204379,260,209.348402
1707.088422,270,210.431668
1876.63361,465,210.688811
1680.908056,348,210.832291
763.982123,406,211.008211
491.149426,342,211.150888
1688.108676,342,212.271038
1732.891583,231,212.366848
1346.304989,220,212.47749
1452.109921,215,212.575504
1413.469693,214,212.671033
1425.177159,195,213.737173
132.262059,133,213.791838
1368.912449,208,213.877822
14.521027,86,213.914965
-73.621498,82,213.952971
1494.113805,197,214.93222
23.704863,93,214.998438
1400.274699,210,215.157442
13.100483,160,215.22721
256.502453,141,215.285018
1438.212796,241,216.409657
1290.872208,228,216.503672
-91.841603,114,216.549847
1515.325647,181,216.62358
-6.641344,77,216.654818
1403.89846,750,217.951101
1645.186206,750,218.307636
1643.002402,750,218.647549
1614.470956,750,218.961691
1649.104814,750,219.27374
1537.774802,201,220.293682
1418.720714,239,220.395769
577.628802,205,220.478348
1512.813266,209,220.563987
1502.218397,188,220.664551
25.271377,110,221.665062
1524.157956,750,221.986741
1568.091356,750,222.340632
19.609324,112,222.390572
1372.787281,208,222.477385
219.079756,201,223.453502
1559.52381,229,223.58112
389.975248,196,223.660161
1434.669009,246,223.762385
1307.485235,243,223.882588
1628.353163,252,224.946759
150.754853,185,225.020876
1699.312137,750,225.455902
1599.912245,252,225.61409
172.655512,162,225.716715
1725.66552,254,226.808114
1676.11186,263,226.921534
1570.590431,750,227.228368
1691.628138,750,227.538365
1516.737305,750,227.882529
37.778924,124,228.856223
1533.725304,234,228.956742
1488.784618,228,229.060338
1609.975102,239,229.177681
53.305792,103,229.226238
420.95899,184,230.248047
1411.645711,216,230.336989
1507.943911,184,230.46631
1491.798956,194,230.546922
1541.262563,204,230.630548
1704.182517,750,231.899187
1702.428946,750,232.208694
1907.378928,750,232.539856
1701.805994,750,232.855118
1701.900681,750,233.16622
1512.204965,237,234.18797
1726.464136,316,234.334631
657.953617,287,234.463797
1703.5427,750,234.852106
239.11568,174,234.9381
1448.785321,197,236.131083
1455.025145,203,236.214504
333.218293,202,236.296214
3.300048,60,236.320523
209.535058,153,236.384462
1688.577628,249,237.445031
1579.278745,244,237.545811
1720.956443,750,237.880872
465.725194,212,237.966924
1582.473518,750,238.282727
1392.619856,210,239.308548
-30.377518,61,239.333507
1442.977638,236,239.432346
18.266004,90,239.468932
131.347691,113,239.514843
218.99755,158,240.627185
241.556564,168,240.721617
1691.033232,244,240.859174
364.22946,218,241.002771
842.905678,750,241.432997
1379.585133,750,242.650019
1533.741387,750,242.970555
1444.620495,750,243.33015
1316.61248,750,243.642387
1542.174075,750,243.952136
1704.156243,308,244.99592
1703.378614,750,245.344178
1784.691876,339,245.507053
1666.550545,388,245.712069
73.364785,134,245.815102
1634.789586,299,247.0689
1524.522702,262,247.18539
1570.324652,750,247.535906
1619.309569,276,247.665491
74.367821,117,247.715969
392.043445,201,248.707554
29.909687,103,248.749261
1384.632414,221,248.841822
1581.985599,202,248.924612
1448.678662,207,249.009943
1471.475312,251,250.056275
1574.114197,205,250.141764
163.89296,128,250.199694
1361.358049,219,250.290751
1632.219068,321,250.429248
1461.346091,217,251.617763
1480.552382,261,251.74472
34.305713,98,251.784595
121.744546,122,251.836055
-27.335052,81,251.885971
104.121624,87,252.904528
1419.581285,237,253.004153
1565.143144,209,253.089041
1415.34435,234,253.185455
1453.638645,182,253.269521
1701.836735,750,254.521986
1707.868996,750,254.82844
1700.953589,750,255.135632
1744.917737,750,255.448232
1763.074598,750,255.792313
1468.191014,200,257.039394
437.870392,183,257.130255
-32.391469,95,257.169914
1516.792807,213,257.259617
1203.773056,249,257.391484
1700.931339,750,258.698915
1702.582443,750,259.004316
1703.023428,750,259.314403
1603.051114,258,259.428995
1699.103287,750,259.749276
262.046899,164,260.763058
